België,Gewest,Provincie,Totaal,Bewoningssituatie niveau 1,Conventionele woningen
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,Bewoonde conventionele woningen,487582
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,Niet-bewoonde conventionele woningen,93504
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,,581086
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,Bewoonde conventionele woningen,732668
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,Niet-bewoonde conventionele woningen,102724
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,,835392
België,Vlaams Gewest  ,Provincie Limburg,Totaal,Bewoonde conventionele woningen,336818
België,Vlaams Gewest  ,Provincie Limburg,Totaal,Niet-bewoonde conventionele woningen,38537
België,Vlaams Gewest  ,Provincie Limburg,Totaal,,375355
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,Bewoonde conventionele woningen,607145
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,Niet-bewoonde conventionele woningen,78970
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,,686115
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,Bewoonde conventionele woningen,439351
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,Niet-bewoonde conventionele woningen,53629
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,,492980
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,Bewoonde conventionele woningen,497205
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,Niet-bewoonde conventionele woningen,170342
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,,667547
België,Waals Gewest,Provincie Waals-Brabant,Totaal,Bewoonde conventionele woningen,150558
België,Waals Gewest,Provincie Waals-Brabant,Totaal,Niet-bewoonde conventionele woningen,21150
België,Waals Gewest,Provincie Waals-Brabant,Totaal,,171708
België,Waals Gewest,Provincie Henegouwen,Totaal,Bewoonde conventionele woningen,558666
België,Waals Gewest,Provincie Henegouwen,Totaal,Niet-bewoonde conventionele woningen,69394
België,Waals Gewest,Provincie Henegouwen,Totaal,,628060
België,Waals Gewest,Provincie Luik,Totaal,Bewoonde conventionele woningen,450775
België,Waals Gewest,Provincie Luik,Totaal,Niet-bewoonde conventionele woningen,61515
België,Waals Gewest,Provincie Luik,Totaal,,512290
België,Waals Gewest,Provincie Luxemburg,Totaal,Bewoonde conventionele woningen,108764
België,Waals Gewest,Provincie Luxemburg,Totaal,Niet-bewoonde conventionele woningen,25494
België,Waals Gewest,Provincie Luxemburg,Totaal,,134258
België,Waals Gewest,Provincie Namen,Totaal,Bewoonde conventionele woningen,194119
België,Waals Gewest,Provincie Namen,Totaal,Niet-bewoonde conventionele woningen,30036
België,Waals Gewest,Provincie Namen,Totaal,,224155
België,,,Totaal,Bewoonde conventionele woningen,4563651
België,,,Totaal,Niet-bewoonde conventionele woningen,745295
België,,,Totaal,,5308946
