Totaal,Niveau 1,Jaar,Gewicht
Totaal,Aankoop van nieuwe woningen,2015,254.742
Totaal,Aankoop van nieuwe woningen,2016,236.942
Totaal,Aankoop van nieuwe woningen,2017,242.289
Totaal,Aankoop van nieuwe woningen,2018,200.716
Totaal,Aankoop van nieuwe woningen,2019,268.364
Totaal,Aankoop van nieuwe woningen,2020,245.169
Totaal,Aankoop van nieuwe woningen,2021,284.368
Totaal,Aankoop van nieuwe woningen,2022,238.995
Totaal,Aankoop van bestaande woningen,2015,745.258
Totaal,Aankoop van bestaande woningen,2016,763.058
Totaal,Aankoop van bestaande woningen,2017,757.711
Totaal,Aankoop van bestaande woningen,2018,799.284
Totaal,Aankoop van bestaande woningen,2019,731.636
Totaal,Aankoop van bestaande woningen,2020,754.831
Totaal,Aankoop van bestaande woningen,2021,715.632
Totaal,Aankoop van bestaande woningen,2022,761.005
Totaal,,2015,1000.0
Totaal,,2016,1000.0
Totaal,,2017,1000.0
Totaal,,2018,1000.0
Totaal,,2019,1000.0
Totaal,,2020,1000.0
Totaal,,2021,1000.0
Totaal,,2022,1000.0
