België,Gewest,Provincie,totaal,Land van staatsburgerschap niveau 1,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Belgen,766744
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Buitenlanders,365574
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Staatloos,76
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven,4384
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,1136778
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Belgen,1602721
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Buitenlanders,166004
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Staatloos,113
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven,4429
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,1773267
België,Vlaams Gewest  ,Provincie Limburg,totaal,Belgen,766260
België,Vlaams Gewest  ,Provincie Limburg,totaal,Buitenlanders,79911
België,Vlaams Gewest  ,Provincie Limburg,totaal,Staatloos,22
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven,658
België,Vlaams Gewest  ,Provincie Limburg,totaal,,846851
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Belgen,1380539
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Buitenlanders,66522
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Staatloos,109
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven,1758
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,1448928
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Belgen,999933
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Buitenlanders,87881
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Staatloos,34
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven,844
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,1088692
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Belgen,1129199
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Buitenlanders,37863
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Staatloos,67
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven,873
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,1168002
België,Waals Gewest,Provincie Waals-Brabant,totaal,Belgen,348905
België,Waals Gewest,Provincie Waals-Brabant,totaal,Buitenlanders,34637
België,Waals Gewest,Provincie Waals-Brabant,totaal,Staatloos,17
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven,89
België,Waals Gewest,Provincie Waals-Brabant,totaal,,383648
België,Waals Gewest,Provincie Henegouwen,totaal,Belgen,1166649
België,Waals Gewest,Provincie Henegouwen,totaal,Buitenlanders,152624
België,Waals Gewest,Provincie Henegouwen,totaal,Staatloos,63
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven,409
België,Waals Gewest,Provincie Henegouwen,totaal,,1319745
België,Waals Gewest,Provincie Luik,totaal,Belgen,961736
België,Waals Gewest,Provincie Luik,totaal,Buitenlanders,118344
België,Waals Gewest,Provincie Luik,totaal,Staatloos,156
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven,1900
België,Waals Gewest,Provincie Luik,totaal,,1082136
België,Waals Gewest,Provincie Luxemburg,totaal,Belgen,254296
België,Waals Gewest,Provincie Luxemburg,totaal,Buitenlanders,18706
België,Waals Gewest,Provincie Luxemburg,totaal,Staatloos,26
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven,177
België,Waals Gewest,Provincie Luxemburg,totaal,,273205
België,Waals Gewest,Provincie Namen,totaal,Belgen,455028
België,Waals Gewest,Provincie Namen,totaal,Buitenlanders,23895
België,Waals Gewest,Provincie Namen,totaal,Staatloos,61
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven,402
België,Waals Gewest,Provincie Namen,totaal,,479386
België,,,totaal,Belgen,9832010
België,,,totaal,Buitenlanders,1151961
België,,,totaal,Staatloos,744
België,,,totaal,Niet aangegeven,15923
België,,,totaal,,11000638
