totaal,Plaats van tewerkstelling niveau 1,totaal.1,Bedrijfstak niveau 1,Werkende bevolking
totaal,In het buitenland,totaal,"A: Landbouw, bosbouw en visserij",32
totaal,In het buitenland,totaal,Industrie en winning van delfstoffen,38
totaal,In het buitenland,totaal,F: Bouwnijverheid,110
totaal,In het buitenland,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",1261
totaal,In het buitenland,totaal,J: Informatie en communicatie,28
totaal,In het buitenland,totaal,K: Financiële activiteiten en verzekeringen,34
totaal,In het buitenland,totaal,L: Exploitatie van en handel in onroerend goed,4
totaal,In het buitenland,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",353
totaal,In het buitenland,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",860
totaal,In het buitenland,totaal,Overige diensten,791
totaal,In het buitenland,totaal,Niet aangegeven,88785
totaal,In het buitenland,totaal,,92296
totaal,In België,totaal,"A: Landbouw, bosbouw en visserij",59329
totaal,In België,totaal,Industrie en winning van delfstoffen,567424
totaal,In België,totaal,F: Bouwnijverheid,299993
totaal,In België,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",1019626
totaal,In België,totaal,J: Informatie en communicatie,114342
totaal,In België,totaal,K: Financiële activiteiten en verzekeringen,144796
totaal,In België,totaal,L: Exploitatie van en handel in onroerend goed,29952
totaal,In België,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",537896
totaal,In België,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",1397545
totaal,In België,totaal,Overige diensten,168712
totaal,In België,totaal,Niet aangegeven,1060
totaal,In België,totaal,,4340675
totaal,,totaal,"A: Landbouw, bosbouw en visserij",59361
totaal,,totaal,Industrie en winning van delfstoffen,567462
totaal,,totaal,F: Bouwnijverheid,300103
totaal,,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",1020887
totaal,,totaal,J: Informatie en communicatie,114370
totaal,,totaal,K: Financiële activiteiten en verzekeringen,144830
totaal,,totaal,L: Exploitatie van en handel in onroerend goed,29956
totaal,,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",538249
totaal,,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",1398405
totaal,,totaal,Overige diensten,169503
totaal,,totaal,Niet aangegeven,89845
totaal,,totaal,,4432971
