Gewest,Provincie,Arrondissement,Bevolking tussen 15 en 64 jaar
Vlaams Gewest,Provincie Antwerpen,,0.657
Vlaams Gewest,Provincie Vlaams-Brabant,,0.654
Vlaams Gewest,Provincie West-Vlaanderen,,0.641
Vlaams Gewest,Provincie Oost-Vlaanderen,,0.656
Vlaams Gewest,Provincie Limburg,,0.676
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.675
Waals Gewest,Provincie Waals-Brabant,,0.658
Waals Gewest,Provincie Henegouwen,,0.659
Waals Gewest,Provincie Luik,,0.661
Waals Gewest,Provincie Luxemburg,,0.657
Waals Gewest,Provincie Namen,,0.662
