België,Gewest,Provincie,totaal,Beroepsstatuut niveau 1,Werkende bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Loontrekkenden,302370
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Werkgevers,16137
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Zelfstandigen,47192
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),4681
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,370380
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Loontrekkenden,634844
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Werkgevers,32718
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Zelfstandigen,69501
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),9671
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,746734
België,Vlaams Gewest  ,Provincie Limburg,totaal,Loontrekkenden,309009
België,Vlaams Gewest  ,Provincie Limburg,totaal,Werkgevers,17163
België,Vlaams Gewest  ,Provincie Limburg,totaal,Zelfstandigen,31819
België,Vlaams Gewest  ,Provincie Limburg,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),5800
België,Vlaams Gewest  ,Provincie Limburg,totaal,,363791
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Loontrekkenden,540332
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Werkgevers,27041
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Zelfstandigen,60354
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),11873
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,639600
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Loontrekkenden,405443
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Werkgevers,20028
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Zelfstandigen,46130
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),6038
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,477639
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Loontrekkenden,409486
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Werkgevers,28676
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Zelfstandigen,52316
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),15191
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,505669
België,Waals Gewest,Provincie Waals-Brabant,totaal,Loontrekkenden,125156
België,Waals Gewest,Provincie Waals-Brabant,totaal,Werkgevers,8859
België,Waals Gewest,Provincie Waals-Brabant,totaal,Zelfstandigen,19880
België,Waals Gewest,Provincie Waals-Brabant,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),1966
België,Waals Gewest,Provincie Waals-Brabant,totaal,,155861
België,Waals Gewest,Provincie Henegouwen,totaal,Loontrekkenden,408912
België,Waals Gewest,Provincie Henegouwen,totaal,Werkgevers,17243
België,Waals Gewest,Provincie Henegouwen,totaal,Zelfstandigen,37830
België,Waals Gewest,Provincie Henegouwen,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),6279
België,Waals Gewest,Provincie Henegouwen,totaal,,470264
België,Waals Gewest,Provincie Luik,totaal,Loontrekkenden,346704
België,Waals Gewest,Provincie Luik,totaal,Werkgevers,18881
België,Waals Gewest,Provincie Luik,totaal,Zelfstandigen,33004
België,Waals Gewest,Provincie Luik,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),5393
België,Waals Gewest,Provincie Luik,totaal,,403982
België,Waals Gewest,Provincie Luxemburg,totaal,Loontrekkenden,92986
België,Waals Gewest,Provincie Luxemburg,totaal,Werkgevers,4591
België,Waals Gewest,Provincie Luxemburg,totaal,Zelfstandigen,10150
België,Waals Gewest,Provincie Luxemburg,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),1969
België,Waals Gewest,Provincie Luxemburg,totaal,,109696
België,Waals Gewest,Provincie Namen,totaal,Loontrekkenden,161382
België,Waals Gewest,Provincie Namen,totaal,Werkgevers,8403
België,Waals Gewest,Provincie Namen,totaal,Zelfstandigen,16754
België,Waals Gewest,Provincie Namen,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),2816
België,Waals Gewest,Provincie Namen,totaal,,189355
België,,,totaal,Loontrekkenden,3736624
België,,,totaal,Werkgevers,199740
België,,,totaal,Zelfstandigen,424930
België,,,totaal,Overige (meewerkende gezinsleden  en  leden van productiecoöperaties),71677
België,,,totaal,,4432971
